2019-11-08 23:37:35iters:  20, loss:2.0569, accuracy:0.5154
2019-11-09 01:31:47iters: 800, loss:0.5104, accuracy:0.818
2019-11-09 01:34:41iters: 820, loss:0.4715, accuracy:0.8321
2019-11-09 01:37:36iters: 840, loss:0.5022, accuracy:0.825
2019-11-09 01:40:31iters: 860, loss:0.4809, accuracy:0.8315
2019-11-09 01:43:26iters: 880, loss:0.4860, accuracy:0.8312
2019-11-09 01:46:21iters: 900, loss:0.4512, accuracy:0.8358
2019-11-09 01:49:16iters: 920, loss:0.4939, accuracy:0.8282
2019-11-09 01:52:10iters: 940, loss:0.4812, accuracy:0.828
2019-11-09 01:55:05iters: 960, loss:0.4555, accuracy:0.8369
2019-11-09 01:58:04iters: 980, loss:0.4515, accuracy:0.8353
2019-11-09 02:01:06iters:1000, loss:0.4323, accuracy:0.8423
2019-11-09 02:04:10iters:1020, loss:0.4495, accuracy:0.833
2019-11-09 02:07:18iters:1040, loss:0.4440, accuracy:0.8384
2019-11-09 02:10:28iters:1060, loss:0.4338, accuracy:0.844
2019-11-09 02:13:40iters:1080, loss:0.4238, accuracy:0.8412
2019-11-09 02:16:53iters:1100, loss:0.4152, accuracy:0.8495
2019-11-09 02:20:08iters:1120, loss:0.4099, accuracy:0.846
2019-11-09 02:23:25iters:1140, loss:0.4260, accuracy:0.8456
2019-11-09 02:26:41iters:1160, loss:0.3997, accuracy:0.8529
2019-11-09 02:29:59iters:1180, loss:0.4191, accuracy:0.8452
2019-11-09 02:33:18iters:1200, loss:0.4553, accuracy:0.8324
2019-11-09 02:36:37iters:1220, loss:0.4393, accuracy:0.8383
2019-11-09 02:39:50iters:1240, loss:0.4369, accuracy:0.8414
2019-11-09 02:43:10iters:1260, loss:0.4328, accuracy:0.8444
2019-11-09 02:46:30iters:1280, loss:0.3934, accuracy:0.8582
2019-11-09 02:49:51iters:1300, loss:0.4278, accuracy:0.8455
2019-11-09 02:53:09iters:1320, loss:0.4270, accuracy:0.8421
2019-11-09 02:56:29iters:1340, loss:0.4323, accuracy:0.8394
2019-11-09 02:59:48iters:1360, loss:0.4364, accuracy:0.8405
2019-11-09 03:03:07iters:1380, loss:0.4566, accuracy:0.8338
2019-11-09 03:06:28iters:1400, loss:0.4259, accuracy:0.8487
2019-11-09 03:09:49iters:1420, loss:0.4576, accuracy:0.8317
2019-11-09 03:13:10iters:1440, loss:0.4043, accuracy:0.8503
2019-11-09 03:16:31iters:1460, loss:0.3864, accuracy:0.8581
2019-11-09 03:19:50iters:1480, loss:0.4040, accuracy:0.8547
2019-11-09 03:23:06iters:1500, loss:0.3927, accuracy:0.8534
2019-11-09 03:26:23iters:1520, loss:0.3826, accuracy:0.8546
2019-11-09 03:29:36iters:1540, loss:0.4046, accuracy:0.8479
2019-11-09 03:32:55iters:1560, loss:0.3897, accuracy:0.8538
2019-11-09 03:36:13iters:1580, loss:0.4143, accuracy:0.8475
2019-11-09 03:39:31iters:1600, loss:0.3920, accuracy:0.8527
2019-11-09 03:42:47iters:1620, loss:0.3877, accuracy:0.862
2019-11-09 03:46:00iters:1640, loss:0.4030, accuracy:0.8469
2019-11-09 03:49:16iters:1660, loss:0.3891, accuracy:0.8563
2019-11-09 03:52:34iters:1680, loss:0.4073, accuracy:0.8524
2019-11-09 03:55:53iters:1700, loss:0.4184, accuracy:0.8435
2019-11-09 03:59:10iters:1720, loss:0.3904, accuracy:0.8541
2019-11-09 04:02:27iters:1740, loss:0.4128, accuracy:0.8453
2019-11-09 04:05:44iters:1760, loss:0.4070, accuracy:0.8494
2019-11-09 04:09:00iters:1780, loss:0.3550, accuracy:0.8669
2019-11-09 04:12:16iters:1800, loss:0.3887, accuracy:0.8545
2019-11-09 04:15:33iters:1820, loss:0.3718, accuracy:0.8631
2019-11-09 04:18:46iters:1840, loss:0.3803, accuracy:0.8537
2019-11-09 04:21:54iters:1860, loss:0.3656, accuracy:0.8625
2019-11-09 04:25:09iters:1880, loss:0.3659, accuracy:0.8623
2019-11-09 04:28:25iters:1900, loss:0.3911, accuracy:0.8567
2019-11-09 04:31:42iters:1920, loss:0.3737, accuracy:0.8602
2019-11-09 04:35:00iters:1940, loss:0.4038, accuracy:0.8473
2019-11-09 04:38:17iters:1960, loss:0.3885, accuracy:0.8567
2019-11-09 04:41:34iters:1980, loss:0.3765, accuracy:0.8564
2019-11-09 04:44:51iters:2000, loss:0.3710, accuracy:0.8545
2019-11-09 04:48:07iters:2020, loss:0.3903, accuracy:0.8557
2019-11-09 04:51:24iters:2040, loss:0.3529, accuracy:0.8636
2019-11-09 04:54:41iters:2060, loss:0.3850, accuracy:0.8556
2019-11-09 04:57:56iters:2080, loss:0.3763, accuracy:0.8487
2019-11-09 05:01:11iters:2100, loss:0.3834, accuracy:0.8573
2019-11-09 05:04:25iters:2120, loss:0.3319, accuracy:0.8761
2019-11-09 05:07:40iters:2140, loss:0.3506, accuracy:0.8679
2019-11-09 05:10:56iters:2160, loss:0.3683, accuracy:0.859
2019-11-09 05:14:06iters:2180, loss:0.3799, accuracy:0.8544
2019-11-09 05:17:20iters:2200, loss:0.3520, accuracy:0.8634
2019-11-09 05:20:37iters:2220, loss:0.3633, accuracy:0.8581
2019-11-09 05:23:50iters:2240, loss:0.3484, accuracy:0.8656
2019-11-09 05:27:04iters:2260, loss:0.3555, accuracy:0.8672
2019-11-09 05:30:18iters:2280, loss:0.3344, accuracy:0.8696
2019-11-09 05:33:33iters:2300, loss:0.3557, accuracy:0.8638
2019-11-09 05:36:48iters:2320, loss:0.3485, accuracy:0.8633
2019-11-09 05:40:01iters:2340, loss:0.3368, accuracy:0.8743
2019-11-09 05:43:15iters:2360, loss:0.3290, accuracy:0.8768
2019-11-09 05:46:30iters:2380, loss:0.3704, accuracy:0.8618
2019-11-09 05:49:43iters:2400, loss:0.3383, accuracy:0.8679
2019-11-09 05:52:57iters:2420, loss:0.3688, accuracy:0.8605
2019-11-09 05:56:11iters:2440, loss:0.3692, accuracy:0.8594
2019-11-09 05:59:25iters:2460, loss:0.3640, accuracy:0.8588
2019-11-09 06:02:38iters:2480, loss:0.3703, accuracy:0.8617
2019-11-09 06:05:52iters:2500, loss:0.3222, accuracy:0.8756
2019-11-09 06:09:06iters:2520, loss:0.3434, accuracy: 0.87
2019-11-09 06:12:21iters:2540, loss:0.3385, accuracy:0.8694
2019-11-09 06:15:33iters:2560, loss:0.3511, accuracy:0.8683
2019-11-09 06:18:47iters:2580, loss:0.3364, accuracy:0.8661
2019-11-09 06:22:00iters:2600, loss:0.3265, accuracy:0.8732
2019-11-09 06:25:14iters:2620, loss:0.3523, accuracy:0.8648
2019-11-09 06:28:27iters:2640, loss:0.3602, accuracy:0.8617
2019-11-09 06:31:39iters:2660, loss:0.3483, accuracy:0.8662
2019-11-09 06:34:53iters:2680, loss:0.3318, accuracy:0.8742
2019-11-09 06:38:05iters:2700, loss:0.3342, accuracy:0.8682
2019-11-09 06:41:18iters:2720, loss:0.3455, accuracy:0.8652
2019-11-09 06:44:30iters:2740, loss:0.3361, accuracy:0.8693
2019-11-09 06:47:43iters:2760, loss:0.3415, accuracy:0.8683
2019-11-09 06:50:56iters:2780, loss:0.3315, accuracy:0.8688
2019-11-09 06:54:09iters:2800, loss:0.3192, accuracy:0.873
2019-11-09 06:57:22iters:2820, loss:0.3324, accuracy:0.8744
2019-11-09 07:00:35iters:2840, loss:0.3055, accuracy:0.8807
2019-11-09 07:03:48iters:2860, loss:0.3087, accuracy:0.8813
2019-11-09 07:07:00iters:2880, loss:0.3338, accuracy:0.871
2019-11-09 07:10:11iters:2900, loss:0.3379, accuracy:0.8702
2019-11-09 07:13:21iters:2920, loss:0.3127, accuracy:0.8797
2019-11-09 07:16:33iters:2940, loss:0.3230, accuracy:0.8744
2019-11-09 07:19:46iters:2960, loss:0.3080, accuracy:0.8782
2019-11-09 07:22:56iters:2980, loss:0.3380, accuracy:0.8701
2019-11-09 07:26:08iters:3000, loss:0.3286, accuracy:0.875
2019-11-09 07:29:21iters:3020, loss:0.3315, accuracy:0.8681
2019-11-09 07:32:33iters:3040, loss:0.3342, accuracy:0.8671
2019-11-09 07:35:46iters:3060, loss:0.2992, accuracy:0.8788
2019-11-09 07:38:59iters:3080, loss:0.3329, accuracy:0.8679
2019-11-09 07:42:13iters:3100, loss:0.3597, accuracy:0.8652
2019-11-09 07:45:28iters:3120, loss:0.3378, accuracy:0.8644
2019-11-09 07:48:42iters:3140, loss:0.3132, accuracy:0.8783
2019-11-09 07:51:50iters:3160, loss:0.3318, accuracy: 0.87
2019-11-09 07:55:03iters:3180, loss:0.3031, accuracy:0.8753
2019-11-09 07:58:17iters:3200, loss:0.2967, accuracy:0.8801
2019-11-09 08:01:31iters:3220, loss:0.2912, accuracy:0.8808
2019-11-09 08:04:44iters:3240, loss:0.2918, accuracy:0.8855
2019-11-09 08:07:57iters:3260, loss:0.3040, accuracy:0.8804
2019-11-09 08:11:11iters:3280, loss:0.3083, accuracy:0.8831
2019-11-09 08:14:26iters:3300, loss:0.3109, accuracy:0.8792
2019-11-09 08:17:41iters:3320, loss:0.3219, accuracy:0.8769
2019-11-09 08:20:55iters:3340, loss:0.3137, accuracy:0.8785
2019-11-09 08:24:09iters:3360, loss:0.2952, accuracy:0.8811
2019-11-09 08:27:23iters:3380, loss:0.3330, accuracy:0.8673
2019-11-09 08:30:39iters:3400, loss:0.3099, accuracy:0.8775
2019-11-09 08:33:54iters:3420, loss:0.3135, accuracy:0.8773
2019-11-09 08:37:09iters:3440, loss:0.3296, accuracy:0.8694
2019-11-09 08:40:21iters:3460, loss:0.3239, accuracy:0.8748
2019-11-09 08:43:36iters:3480, loss:0.3113, accuracy:0.8757
2019-11-09 08:46:52iters:3500, loss:0.3122, accuracy:0.877
2019-11-09 08:50:11iters:3520, loss:0.3221, accuracy:0.8739
2019-11-09 08:53:27iters:3540, loss:0.3252, accuracy:0.8716
2019-11-09 08:56:39iters:3560, loss:0.2988, accuracy:0.8798
2019-11-09 08:59:50iters:3580, loss:0.3041, accuracy:0.8772
2019-11-09 09:02:59iters:3600, loss:0.3060, accuracy:0.8798
2019-11-09 09:06:08iters:3620, loss:0.3005, accuracy:0.8838
2019-11-09 09:09:17iters:3640, loss:0.2766, accuracy:0.8837
2019-11-09 09:12:25iters:3660, loss:0.3177, accuracy:0.8736
2019-11-09 09:15:32iters:3680, loss:0.3010, accuracy:0.8817
2019-11-09 09:18:39iters:3700, loss:0.2943, accuracy:0.8869
2019-11-09 09:21:44iters:3720, loss:0.3181, accuracy:0.8759
2019-11-09 09:24:48iters:3740, loss:0.2863, accuracy:0.8856
2019-11-09 09:27:53iters:3760, loss:0.2974, accuracy:0.8802
2019-11-09 09:30:57iters:3780, loss:0.2897, accuracy:0.8815
2019-11-09 09:34:03iters:3800, loss:0.3254, accuracy:0.8734
2019-11-09 09:37:07iters:3820, loss:0.3223, accuracy:0.8755
2019-11-09 09:40:12iters:3840, loss:0.2917, accuracy:0.8871
2019-11-09 09:43:17iters:3860, loss:0.2870, accuracy:0.8832
2019-11-09 09:46:19iters:3880, loss:0.2869, accuracy:0.8864
2019-11-09 09:49:15iters:3900, loss:0.2971, accuracy:0.8817
2019-11-09 09:52:18iters:3920, loss:0.2720, accuracy:0.8888
2019-11-09 09:55:21iters:3940, loss:0.2758, accuracy:0.8928
2019-11-09 09:58:24iters:3960, loss:0.2985, accuracy:0.8792
2019-11-09 10:01:31iters:3980, loss:0.2850, accuracy:0.8872
2019-11-09 10:04:40iters:4000, loss:0.2894, accuracy:0.8831
2019-11-09 10:07:50iters:4020, loss:0.2946, accuracy:0.8814
2019-11-09 10:11:03iters:4040, loss:0.2930, accuracy:0.8845
2019-11-09 10:14:17iters:4060, loss:0.2714, accuracy:0.889
2019-11-09 10:17:33iters:4080, loss:0.2607, accuracy:0.8913
2019-11-09 10:20:49iters:4100, loss:0.2717, accuracy:0.8897
2019-11-09 10:24:06iters:4120, loss:0.2693, accuracy:0.8938
2019-11-09 10:27:20iters:4140, loss:0.2718, accuracy:0.887
2019-11-09 10:30:30iters:4160, loss:0.2644, accuracy:0.8921
2019-11-09 10:33:40iters:4180, loss:0.2703, accuracy:0.8934
2019-11-09 10:36:40iters:4200, loss:0.2923, accuracy:0.8843
2019-11-09 10:39:45iters:4220, loss:0.2740, accuracy: 0.89
2019-11-09 10:42:52iters:4240, loss:0.2678, accuracy:0.8951
2019-11-09 10:45:59iters:4260, loss:0.2613, accuracy:0.8932
2019-11-09 10:49:05iters:4280, loss:0.2659, accuracy:0.8911
2019-11-09 10:52:10iters:4300, loss:0.2771, accuracy:0.8832
2019-11-09 10:55:00iters:4320, loss:0.2846, accuracy:0.8824
2019-11-09 10:57:51iters:4340, loss:0.2636, accuracy:0.8947
2019-11-09 11:00:41iters:4360, loss:0.2781, accuracy:0.8834
2019-11-09 11:03:41iters:4380, loss:0.2376, accuracy:0.8989
2019-11-09 11:06:46iters:4400, loss:0.2565, accuracy:0.8951
2019-11-09 11:09:54iters:4420, loss:0.2486, accuracy:0.8955
2019-11-09 11:13:04iters:4440, loss:0.2638, accuracy:0.8939
2019-11-09 11:16:16iters:4460, loss:0.2644, accuracy:0.8899
2019-11-09 11:19:32iters:4480, loss:0.2607, accuracy:0.8941
2019-11-09 11:22:47iters:4500, loss:0.2553, accuracy:0.8993
2019-11-09 11:26:04iters:4520, loss:0.2891, accuracy:0.8841
2019-11-09 11:29:22iters:4540, loss:0.2610, accuracy:0.8958
2019-11-09 11:32:39iters:4560, loss:0.2515, accuracy:0.8994
2019-11-09 11:35:59iters:4580, loss:0.2591, accuracy:0.8922
2019-11-09 11:39:17iters:4600, loss:0.2587, accuracy:0.8964
2019-11-09 11:42:35iters:4620, loss:0.2565, accuracy:0.8943
2019-11-09 11:45:56iters:4640, loss:0.2594, accuracy:0.8909
2019-11-09 11:49:21iters:4660, loss:0.2789, accuracy:0.8893
2019-11-09 11:52:53iters:4680, loss:0.2528, accuracy:0.896
2019-11-09 11:56:25iters:4700, loss:0.2651, accuracy:0.8912
2019-11-09 11:59:56iters:4720, loss:0.2531, accuracy:0.8999
2019-11-09 12:03:37iters:4740, loss:0.2575, accuracy:0.8899
2019-11-09 12:07:19iters:4760, loss:0.2583, accuracy:0.8953
2019-11-09 12:10:59iters:4780, loss:0.2598, accuracy:0.8925
2019-11-09 12:14:34iters:4800, loss:0.2538, accuracy:0.8944
2019-11-09 12:18:07iters:4820, loss:0.2557, accuracy:0.898
2019-11-09 12:21:38iters:4840, loss:0.2666, accuracy:0.8897
2019-11-09 12:25:08iters:4860, loss:0.2551, accuracy:0.8921
2019-11-09 12:28:43iters:4880, loss:0.2557, accuracy:0.8975
2019-11-09 12:32:17iters:4900, loss:0.2626, accuracy:0.8969
2019-11-09 12:35:54iters:4920, loss:0.2550, accuracy:0.8947
2019-11-09 12:39:18iters:4940, loss:0.2532, accuracy:0.8917
2019-11-09 12:42:38iters:4960, loss:0.2463, accuracy:0.8981
2019-11-09 12:46:00iters:4980, loss:0.2556, accuracy:0.8947
2019-11-09 12:49:24iters:5000, loss:0.2556, accuracy:0.8965
2019-11-09 12:52:43iters:5020, loss:0.2760, accuracy:0.8929
2019-11-09 12:56:09iters:5040, loss:0.2567, accuracy:0.8918
2019-11-09 12:59:37iters:5060, loss:0.2662, accuracy:0.8876
2019-11-09 13:02:57iters:5080, loss:0.2335, accuracy:0.9054
2019-11-09 13:06:18iters:5100, loss:0.2574, accuracy:0.8907
2019-11-09 13:09:39iters:5120, loss:0.2699, accuracy:0.885
2019-11-09 13:13:01iters:5140, loss:0.2507, accuracy:0.8983
2019-11-09 13:16:21iters:5160, loss:0.2450, accuracy:0.9005
2019-11-09 13:19:42iters:5180, loss:0.2573, accuracy:0.8919
2019-11-09 13:23:06iters:5200, loss:0.2616, accuracy:0.8952
2019-11-09 13:26:27iters:5220, loss:0.2862, accuracy:0.8859
2019-11-09 13:29:43iters:5240, loss:0.2460, accuracy:0.8992
2019-11-09 13:33:06iters:5260, loss:0.2709, accuracy:0.888
2019-11-09 13:36:27iters:5280, loss:0.2576, accuracy:0.8973
2019-11-09 13:39:45iters:5300, loss:0.2480, accuracy:0.8979
2019-11-09 13:43:01iters:5320, loss:0.2576, accuracy:0.896
2019-11-09 13:46:22iters:5340, loss:0.2641, accuracy:0.8904
2019-11-09 13:49:40iters:5360, loss:0.2692, accuracy:0.8889
2019-11-09 13:52:56iters:5380, loss:0.2679, accuracy:0.8933
2019-11-09 13:56:12iters:5400, loss:0.2655, accuracy:0.8926
2019-11-09 13:59:24iters:5420, loss:0.2505, accuracy:0.901
2019-11-09 14:02:38iters:5440, loss:0.2545, accuracy:0.8961
2019-11-09 14:05:55iters:5460, loss:0.2517, accuracy:0.8925
2019-11-09 14:09:13iters:5480, loss:0.2606, accuracy:0.8956
2019-11-09 14:12:29iters:5500, loss:0.2543, accuracy:0.8914
2019-11-09 14:15:47iters:5520, loss:0.2659, accuracy:0.8932
2019-11-09 14:19:07iters:5540, loss:0.2528, accuracy:0.8903
2019-11-09 14:22:27iters:5560, loss:0.2589, accuracy:0.8938
2019-11-09 14:25:46iters:5580, loss:0.2595, accuracy:0.8906
2019-11-09 14:29:03iters:5600, loss:0.2506, accuracy:0.8963
2019-11-09 14:32:19iters:5620, loss:0.2593, accuracy:0.8932
2019-11-09 14:35:38iters:5640, loss:0.2587, accuracy:0.8952
2019-11-09 14:38:56iters:5660, loss:0.2523, accuracy:0.8932
2019-11-09 14:42:15iters:5680, loss:0.2587, accuracy:0.8901
2019-11-09 14:45:33iters:5700, loss:0.2579, accuracy:0.8925
2019-11-09 14:48:51iters:5720, loss:0.2715, accuracy:0.8919
2019-11-09 14:52:12iters:5740, loss:0.2653, accuracy:0.8938
2019-11-09 14:55:30iters:5760, loss:0.2567, accuracy:0.8954
2019-11-09 14:58:45iters:5780, loss:0.2585, accuracy:0.8961
2019-11-09 15:01:59iters:5800, loss:0.2592, accuracy:0.8943
2019-11-09 15:05:13iters:5820, loss:0.2566, accuracy:0.894
2019-11-09 15:08:27iters:5840, loss:0.2288, accuracy:0.9058
2019-11-09 15:11:39iters:5860, loss:0.2641, accuracy:0.8943
2019-11-09 15:14:51iters:5880, loss:0.2518, accuracy:0.8969
2019-11-09 15:18:04iters:5900, loss:0.2677, accuracy:0.8871
2019-11-09 15:21:20iters:5920, loss:0.2726, accuracy:0.8861
2019-11-09 15:24:35iters:5940, loss:0.2440, accuracy:0.904
2019-11-09 15:27:47iters:5960, loss:0.2554, accuracy:0.8906
2019-11-09 15:31:02iters:5980, loss:0.2592, accuracy:0.8946
2019-11-09 15:34:13iters:6000, loss:0.2544, accuracy:0.896
